MP:0002085
MP:0002080
MP:0008762
MP:0010770
MP:0000428
MP:0005382
MP:0003816
MP:0003817
MP:0002132
MP:0002163
MP:0000462
MP:0003115
MP:0003935
HP:0002032
HP:0011389
HP:0002589
GO:0060429
GO:0002009
GO:0045165
GO:0030856
MP:0000462
MP:0005387
MP:0002132
MP:0006382
MP:0000613
MP:0003935
GO:0002009
GO:0060562
GO:0022603
GO:0048598
MP:0000685
MP:0000703
MP:0005076
MP:0002163
GO:0048754
GO:0002138
MP:0000428
MP:0005382
GO:0002009
MP:0013560
GO:0048538
MP:0002884
MP:0010907
MP:0006346
GO:0009948
MP:0013351
MP:0000647
MP:0000613
MP:0013349
HP:0000175
MP:0010832
MP:0005379
MP:0002084
GO:0030111
GO:0016055
GO:0008593
MP:0005382
HP:0011389
MP:0005314
MP:0000681
MP:0001823
HP:0008191
MP:0000428
MP:0000685
MP:0000717
MP:0000221
MP:0008195
MP:0002421
MP:0002420
MP:0001175
MP:0006387
MP:0002401
MP:0002145
MP:0000685
MP:0006387
MP:0002722
MP:0006031
MP:0013222
MP:0013224
MP:0013225
HP:0009795
HP:0009796
MP:0003935
